city,state,date,humidity (%),precipitation (in),avg_temp (°F),pressure (hPa),wind (mph)
Las Vegas,Nevada,01-01-2021,57,0.0,47,1016,21
Las Vegas,Nevada,01-02-2021,31,0.0,46,1021,18
Las Vegas,Nevada,01-03-2021,36,0.0,45,1022,6
Las Vegas,Nevada,01-04-2021,36,0.0,47,1021,7
Las Vegas,Nevada,01-05-2021,32,0.0,50,1017,14
Las Vegas,Nevada,01-06-2021,22,0.0,50,1023,13
Las Vegas,Nevada,01-07-2021,29,0.0,48,1020,13
Las Vegas,Nevada,01-08-2021,32,0.0,48,1020,13
Las Vegas,Nevada,01-09-2021,31,0.0,51,1017,22
Las Vegas,Nevada,01-10-2021,34,0.0,48,1022,26
Las Vegas,Nevada,01-11-2021,36,0.0,45,1023,8
Las Vegas,Nevada,01-12-2021,31,0.0,46,1025,8
Las Vegas,Nevada,01-13-2021,31,0.0,46,1026,12
Las Vegas,Nevada,01-14-2021,23,0.0,53,1023,9
Las Vegas,Nevada,01-15-2021,26,0.0,56,1027,13
Las Vegas,Nevada,01-16-2021,26,0.0,57,1020,10
Las Vegas,Nevada,01-17-2021,26,0.0,57,1022,16
Las Vegas,Nevada,01-18-2021,26,0.0,57,1015,14
Las Vegas,Nevada,01-19-2021,21,0.0,56,1012,25
Las Vegas,Nevada,01-20-2021,47,0.0,52,1020,22
Las Vegas,Nevada,01-21-2021,40,0.0,52,1018,9
Las Vegas,Nevada,01-22-2021,41,0.0,55,1014,9
Las Vegas,Nevada,01-23-2021,47,0.12,51,1004,25
Las Vegas,Nevada,01-24-2021,43,0.0,45,1009,12
Las Vegas,Nevada,01-25-2021,29,0.0,48,1004,18
Las Vegas,Nevada,01-26-2021,60,5.34,39,998,17
Las Vegas,Nevada,01-27-2021,65,0.0,38,1017,9
Las Vegas,Nevada,01-28-2021,53,0.1,43,1020,15
Las Vegas,Nevada,01-29-2021,43,0.0,48,1011,13
Las Vegas,Nevada,01-30-2021,46,0.0,46,1012,20
